City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,kansk,56.2017,95.7175,-18.26,96,100,1.74,RU,1738780123
317,fort mcmurray,56.7268,-111.381,-19.23,54,100,6.69,CA,1738780124
318,yanam,16.7333,82.2167,20.8,86,74,0.42,IN,1738780125
319,tieli,46.95,128.05,-31.67,100,97,1.61,CN,1738780126
320,akbarpur,26.4167,82.55,17.76,44,0,6.11,IN,1738780127
321,prado,-17.3411,-39.2208,28.48,64,32,4.59,BR,1738780128
322,nuku'alofa,-21.1333,-175.2,23.19,94,75,2.06,TO,1738780129
323,rio preto da eva,-2.6994,-59.6997,29.94,63,97,1.79,BR,1738780130
324,quchan,37.106,58.5095,3.1,38,70,2.45,IR,1738780131
325,mabaruma,8.2,-59.7833,29.17,62,45,3.04,GY,1738780133
326,naama,33.2667,-0.3167,7.51,53,99,3.7,DZ,1738780134
327,susuman,62.7833,148.1667,-44.38,96,67,0.35,RU,1738780135
328,dunedin,-45.8742,170.5036,12.11,97,100,2.24,NZ,1738780024
329,springbok,-29.6643,17.8865,21.92,42,9,3.62,ZA,1738780137
330,pangody,65.85,74.4859,-18.02,99,81,3.51,RU,1738780138
331,hammerfest,70.6634,23.6821,-1.75,86,75,5.14,NO,1738780139
332,vilyuysk,63.7553,121.6247,-44.79,100,71,1.12,RU,1738780140
333,petropavlovka,50.6114,105.3196,-27.26,77,62,2.45,RU,1738780141
334,roma,43.2128,-75.4557,-5.73,58,40,3.6,US,1738779849
335,timimoun,29.2639,0.231,17.21,25,0,5.14,DZ,1738780144
336,nema,57.5067,50.5011,-11.48,95,99,2.02,RU,1738780145
337,east london,-33.0153,27.9116,23.05,76,100,4.39,ZA,1738780146
338,alaghsas,17.0187,8.0168,26.8,11,16,5.27,NE,1738780147
339,nueva gerona,21.8833,-82.8,26.67,62,79,6.47,CU,1738780148
340,shigony,53.3875,48.6777,-11.08,96,100,2.32,RU,1738780149
341,igarka,67.4667,86.5833,-25.8,100,86,1.92,RU,1738779854
342,san fernando,15.0286,120.6898,24.85,85,36,2.07,PH,1738779865
343,darlowo,54.421,16.4107,3.7,93,91,5.73,PL,1738780153
344,fedorovskiy,45.0972,40.9517,0.67,76,100,5.31,RU,1738780154
345,utrik,11.2278,169.8474,26.14,84,100,9.51,MH,1738780155
346,mournies,35.4764,24.0092,9.22,66,75,6.17,GR,1738780156
347,hodal,27.9,77.3667,12.72,32,0,4.5,IN,1738780157
348,carolina beach,34.0352,-77.8936,17.27,71,53,6.74,US,1738780104
349,cannonvale,-20.2833,148.7,23.66,89,100,3.98,AU,1738780161
350,olmos,-5.9847,-79.7453,31.61,37,57,2.71,PE,1738780162
351,yangquan,37.8575,113.5633,-3.23,23,0,6.17,CN,1738780163
352,leczyca,52.0596,19.1997,0.86,68,10,3.2,PL,1738780164
353,saudarkrokur,65.7461,-19.6394,4.15,89,100,18.17,IS,1738780165
354,srandakan,-7.9386,110.2506,24.62,90,11,2.61,ID,1738780166
355,kidal,18.4411,1.4078,28.28,20,100,4.22,ML,1738780167
356,tafuna,-14.3358,-170.72,26.97,89,40,0.51,AS,1738780168
357,kudahuvadhoo,2.6708,72.8944,27.7,69,55,5.3,MV,1738780170
358,san patricio,28.017,-97.5169,25.97,66,95,6.2,US,1738780171
359,colac,-38.3333,143.5833,17.34,86,91,3.4,AU,1738780172
360,fort bragg,35.139,-79.006,13.75,50,40,4.12,US,1738780173
